Age,S.male,S.fem,Mat.male,Mat.fem,Harv,
0,0.59,0.59,0,0,0.03,
1,0.9,0.9,0,0.03,0.03,
2,0.93,0.93,0,0.1,0.03,
3,0.94,0.94,0,0.41,0.03,
4,0.95,0.95,0.33,0.68,0.03,
5,0.95,0.95,0.67,0.82,0.03,
6,0.95,0.95,1,1,0.03,
7,0.95,0.95,1,1,0.03,
8,0.95,0.95,1,1,0.03,
9,0.94,0.94,1,1,0.03,
10,0.94,0.94,1,1,0.03,
11,0.93,0.93,1,1,0.03,
12,0.91,0.91,1,1,0.03,
13,0.9,0.9,1,1,0.03,
14,0.89,0.89,1,1,0.03,
15,0.87,0.87,1,1,0.03,
16,0.85,0.85,1,1,0.03,
17,0.83,0.83,1,1,0.03,
18,0.8,0.8,1,1,0.03,
19,0.78,0.78,1,1,0.03,
20,0.75,0.75,1,1,0.03,
21,0.72,0.72,1,1,0.03,
22,0.69,0.69,1,1,0.03,
23,0.66,0.66,1,1,0.03,
24,0.63,0.63,1,1,0.03,
25,0.59,0.59,1,1,0.03,
26,0.56,0.56,1,1,0.03,
27,0.53,0.53,1,1,0.03,
28,0.49,0.49,1,1,0.03,
29,0.46,0.46,1,1,0.03,
30,0.43,0.43,1,1,0.03,
31,0.4,0.4,1,1,0.03,
32,0.37,0.37,1,1,0.03,
33,0.34,0.34,1,1,0.03,
34,0.31,0.31,1,1,0.03,
35,0.28,0.28,1,1,0.03,
36,0.26,0.26,1,1,0.03,
37,0.23,0.23,1,1,0.03,
38,0.2,0.2,1,1,0.03,
,,,,,,
,,,,,,
